County_state,POP_2019,county,state,fips
"Rogers County, Oklahoma",92459,Rogers,Oklahoma,40131
"Seminole County, Oklahoma",24258,Seminole,Oklahoma,40133
"Sequoyah County, Oklahoma",41569,Sequoyah,Oklahoma,40135
"Stephens County, Oklahoma",43143,Stephens,Oklahoma,40137
"Texas County, Oklahoma",19983,Texas,Oklahoma,40139
"Tillman County, Oklahoma",7250,Tillman,Oklahoma,40141
"Tulsa County, Oklahoma",651552,Tulsa,Oklahoma,40143
"Wagoner County, Oklahoma",81289,Wagoner,Oklahoma,40145
"Washington County, Oklahoma",51527,Washington,Oklahoma,40147
"Washita County, Oklahoma",10916,Washita,Oklahoma,40149
"Woods County, Oklahoma",8793,Woods,Oklahoma,40151
"Woodward County, Oklahoma",20211,Woodward,Oklahoma,40153
"Baker County, Oregon",16124,Baker,Oregon,41001
"Benton County, Oregon",93053,Benton,Oregon,41003
"Clackamas County, Oregon",418187,Clackamas,Oregon,41005
"Clatsop County, Oregon",40224,Clatsop,Oregon,41007
"Columbia County, Oregon",52354,Columbia,Oregon,41009
"Coos County, Oregon",64487,Coos,Oregon,41011
"Crook County, Oregon",24404,Crook,Oregon,41013
"Curry County, Oregon",22925,Curry,Oregon,41015
"Deschutes County, Oregon",197692,Deschutes,Oregon,41017
"Douglas County, Oregon",110980,Douglas,Oregon,41019
"Gilliam County, Oregon",1912,Gilliam,Oregon,41021
"Grant County, Oregon",7199,Grant,Oregon,41023
"Harney County, Oregon",7393,Harney,Oregon,41025
"Hood River County, Oregon",23382,Hood River,Oregon,41027
"Jackson County, Oregon",220944,Jackson,Oregon,41029
"Jefferson County, Oregon",24658,Jefferson,Oregon,41031
"Josephine County, Oregon",87487,Josephine,Oregon,41033
"Klamath County, Oregon",68238,Klamath,Oregon,41035
"Lake County, Oregon",7869,Lake,Oregon,41037
"Lane County, Oregon",382067,Lane,Oregon,41039
"Lincoln County, Oregon",49962,Lincoln,Oregon,41041
"Linn County, Oregon",129749,Linn,Oregon,41043
"Malheur County, Oregon",30571,Malheur,Oregon,41045
"Marion County, Oregon",347818,Marion,Oregon,41047
"Morrow County, Oregon",11603,Morrow,Oregon,41049
"Multnomah County, Oregon",812855,Multnomah,Oregon,41051
"Polk County, Oregon",86085,Polk,Oregon,41053
"Sherman County, Oregon",1780,Sherman,Oregon,41055
"Tillamook County, Oregon",27036,Tillamook,Oregon,41057
"Umatilla County, Oregon",77950,Umatilla,Oregon,41059
"Union County, Oregon",26835,Union,Oregon,41061
"Wallowa County, Oregon",7208,Wallowa,Oregon,41063
"Wasco County, Oregon",26682,Wasco,Oregon,41065
"Washington County, Oregon",601592,Washington,Oregon,41067
"Wheeler County, Oregon",1332,Wheeler,Oregon,41069
"Yamhill County, Oregon",107100,Yamhill,Oregon,41071
"Adams County, Pennsylvania",103009,Adams,Pennsylvania,42001
"Allegheny County, Pennsylvania",1216045,Allegheny,Pennsylvania,42003
"Armstrong County, Pennsylvania",64735,Armstrong,Pennsylvania,42005
"Beaver County, Pennsylvania",163929,Beaver,Pennsylvania,42007
"Bedford County, Pennsylvania",47888,Bedford,Pennsylvania,42009
"Berks County, Pennsylvania",421164,Berks,Pennsylvania,42011
"Blair County, Pennsylvania",121829,Blair,Pennsylvania,42013
"Bradford County, Pennsylvania",60323,Bradford,Pennsylvania,42015
"Bucks County, Pennsylvania",628270,Bucks,Pennsylvania,42017
"Butler County, Pennsylvania",187853,Butler,Pennsylvania,42019
"Cambria County, Pennsylvania",130192,Cambria,Pennsylvania,42021
"Cameron County, Pennsylvania",4447,Cameron,Pennsylvania,42023
"Carbon County, Pennsylvania",64182,Carbon,Pennsylvania,42025
"Centre County, Pennsylvania",162385,Centre,Pennsylvania,42027
"Chester County, Pennsylvania",524989,Chester,Pennsylvania,42029
"Clarion County, Pennsylvania",38438,Clarion,Pennsylvania,42031
"Clearfield County, Pennsylvania",79255,Clearfield,Pennsylvania,42033
"Clinton County, Pennsylvania",38632,Clinton,Pennsylvania,42035
"Columbia County, Pennsylvania",64964,Columbia,Pennsylvania,42037
"Crawford County, Pennsylvania",84629,Crawford,Pennsylvania,42039
"Cumberland County, Pennsylvania",253370,Cumberland,Pennsylvania,42041
"Dauphin County, Pennsylvania",278299,Dauphin,Pennsylvania,42043
"Delaware County, Pennsylvania",566747,Delaware,Pennsylvania,42045
"Elk County, Pennsylvania",29910,Elk,Pennsylvania,42047
"Erie County, Pennsylvania",269728,Erie,Pennsylvania,42049
"Fayette County, Pennsylvania",129274,Fayette,Pennsylvania,42051
"Forest County, Pennsylvania",7247,Forest,Pennsylvania,42053
"Franklin County, Pennsylvania",155027,Franklin,Pennsylvania,42055
"Fulton County, Pennsylvania",14530,Fulton,Pennsylvania,42057
"Greene County, Pennsylvania",36233,Greene,Pennsylvania,42059
"Huntingdon County, Pennsylvania",45144,Huntingdon,Pennsylvania,42061
"Indiana County, Pennsylvania",84073,Indiana,Pennsylvania,42063
"Jefferson County, Pennsylvania",43425,Jefferson,Pennsylvania,42065
"Juniata County, Pennsylvania",24763,Juniata,Pennsylvania,42067
"Lackawanna County, Pennsylvania",209674,Lackawanna,Pennsylvania,42069
"Lancaster County, Pennsylvania",545724,Lancaster,Pennsylvania,42071
"Lawrence County, Pennsylvania",85512,Lawrence,Pennsylvania,42073
"Lebanon County, Pennsylvania",141793,Lebanon,Pennsylvania,42075
"Lehigh County, Pennsylvania",369318,Lehigh,Pennsylvania,42077
"Luzerne County, Pennsylvania",317417,Luzerne,Pennsylvania,42079
"Lycoming County, Pennsylvania",113299,Lycoming,Pennsylvania,42081
"McKean County, Pennsylvania",40625,McKean,Pennsylvania,42083
"Mercer County, Pennsylvania",109424,Mercer,Pennsylvania,42085
"Mifflin County, Pennsylvania",46138,Mifflin,Pennsylvania,42087
"Monroe County, Pennsylvania",170271,Monroe,Pennsylvania,42089
"Montgomery County, Pennsylvania",830915,Montgomery,Pennsylvania,42091
"Montour County, Pennsylvania",18230,Montour,Pennsylvania,42093
"Northampton County, Pennsylvania",305285,Northampton,Pennsylvania,42095
"Northumberland County, Pennsylvania",90843,Northumberland,Pennsylvania,42097
"Perry County, Pennsylvania",46272,Perry,Pennsylvania,42099
"Philadelphia County, Pennsylvania",1584064,Philadelphia,Pennsylvania,42101
"Pike County, Pennsylvania",55809,Pike,Pennsylvania,42103
"Potter County, Pennsylvania",16526,Potter,Pennsylvania,42105
"Schuylkill County, Pennsylvania",141359,Schuylkill,Pennsylvania,42107
"Snyder County, Pennsylvania",40372,Snyder,Pennsylvania,42109
"Somerset County, Pennsylvania",73447,Somerset,Pennsylvania,42111
"Sullivan County, Pennsylvania",6066,Sullivan,Pennsylvania,42113
"Susquehanna County, Pennsylvania",40328,Susquehanna,Pennsylvania,42115
"Tioga County, Pennsylvania",40591,Tioga,Pennsylvania,42117
"Union County, Pennsylvania",44923,Union,Pennsylvania,42119
"Venango County, Pennsylvania",50668,Venango,Pennsylvania,42121
"Warren County, Pennsylvania",39191,Warren,Pennsylvania,42123
"Washington County, Pennsylvania",206865,Washington,Pennsylvania,42125
"Wayne County, Pennsylvania",51361,Wayne,Pennsylvania,42127
"Westmoreland County, Pennsylvania",348899,Westmoreland,Pennsylvania,42129
"Wyoming County, Pennsylvania",26794,Wyoming,Pennsylvania,42131
"York County, Pennsylvania",449058,York,Pennsylvania,42133
"Bristol County, Rhode Island",48479,Bristol,Rhode Island,44001
"Kent County, Rhode Island",164292,Kent,Rhode Island,44003
"Newport County, Rhode Island",82082,Newport,Rhode Island,44005
"Providence County, Rhode Island",638931,Providence,Rhode Island,44007
"Washington County, Rhode Island",125577,Washington,Rhode Island,44009
"Abbeville County, South Carolina",24527,Abbeville,South Carolina,45001
"Aiken County, South Carolina",170872,Aiken,South Carolina,45003
"Allendale County, South Carolina",8688,Allendale,South Carolina,45005
"Anderson County, South Carolina",202558,Anderson,South Carolina,45007
"Bamberg County, South Carolina",14066,Bamberg,South Carolina,45009
"Barnwell County, South Carolina",20866,Barnwell,South Carolina,45011
"Beaufort County, South Carolina",192122,Beaufort,South Carolina,45013
"Berkeley County, South Carolina",227907,Berkeley,South Carolina,45015
"Calhoun County, South Carolina",14553,Calhoun,South Carolina,45017
"Charleston County, South Carolina",411406,Charleston,South Carolina,45019
"Cherokee County, South Carolina",57300,Cherokee,South Carolina,45021
"Chester County, South Carolina",32244,Chester,South Carolina,45023
"Chesterfield County, South Carolina",45650,Chesterfield,South Carolina,45025
"Clarendon County, South Carolina",33745,Clarendon,South Carolina,45027
"Colleton County, South Carolina",37677,Colleton,South Carolina,45029
"Darlington County, South Carolina",66618,Darlington,South Carolina,45031
"Dillon County, South Carolina",30479,Dillon,South Carolina,45033
"Dorchester County, South Carolina",162809,Dorchester,South Carolina,45035
"Edgefield County, South Carolina",27260,Edgefield,South Carolina,45037
"Fairfield County, South Carolina",22347,Fairfield,South Carolina,45039
"Florence County, South Carolina",138293,Florence,South Carolina,45041
"Georgetown County, South Carolina",62680,Georgetown,South Carolina,45043
"Greenville County, South Carolina",523542,Greenville,South Carolina,45045
"Greenwood County, South Carolina",70811,Greenwood,South Carolina,45047
"Hampton County, South Carolina",19222,Hampton,South Carolina,45049
"Horry County, South Carolina",354081,Horry,South Carolina,45051
"Jasper County, South Carolina",30073,Jasper,South Carolina,45053
"Kershaw County, South Carolina",66551,Kershaw,South Carolina,45055
"Lancaster County, South Carolina",98012,Lancaster,South Carolina,45057
"Laurens County, South Carolina",67493,Laurens,South Carolina,45059
"Lee County, South Carolina",16828,Lee,South Carolina,45061
"Lexington County, South Carolina",298750,Lexington,South Carolina,45063
"McCormick County, South Carolina",9463,McCormick,South Carolina,45065
"Marion County, South Carolina",30657,Marion,South Carolina,45067
"Marlboro County, South Carolina",26118,Marlboro,South Carolina,45069
"Newberry County, South Carolina",38440,Newberry,South Carolina,45071
"Oconee County, South Carolina",79546,Oconee,South Carolina,45073
"Orangeburg County, South Carolina",86175,Orangeburg,South Carolina,45075
"Pickens County, South Carolina",126884,Pickens,South Carolina,45077
"Richland County, South Carolina",415759,Richland,South Carolina,45079
"Saluda County, South Carolina",20473,Saluda,South Carolina,45081
"Spartanburg County, South Carolina",319785,Spartanburg,South Carolina,45083
"Sumter County, South Carolina",106721,Sumter,South Carolina,45085
"Union County, South Carolina",27316,Union,South Carolina,45087
"Williamsburg County, South Carolina",30368,Williamsburg,South Carolina,45089
"York County, South Carolina",280979,York,South Carolina,45091
"Aurora County, South Dakota",2751,Aurora,South Dakota,46003
"Beadle County, South Dakota",18453,Beadle,South Dakota,46005
"Bennett County, South Dakota",3365,Bennett,South Dakota,46007
"Bon Homme County, South Dakota",6901,Bon Homme,South Dakota,46009
"Brookings County, South Dakota",35077,Brookings,South Dakota,46011
"Brown County, South Dakota",38839,Brown,South Dakota,46013
"Brule County, South Dakota",5297,Brule,South Dakota,46015
"Buffalo County, South Dakota",1962,Buffalo,South Dakota,46017
"Butte County, South Dakota",10429,Butte,South Dakota,46019
"Campbell County, South Dakota",1376,Campbell,South Dakota,46021
"Charles Mix County, South Dakota",9292,Charles Mix,South Dakota,46023
"Clark County, South Dakota",3736,Clark,South Dakota,46025
"Clay County, South Dakota",14070,Clay,South Dakota,46027
"Codington County, South Dakota",28009,Codington,South Dakota,46029
"Corson County, South Dakota",4086,Corson,South Dakota,46031
"Custer County, South Dakota",8972,Custer,South Dakota,46033
"Davison County, South Dakota",19775,Davison,South Dakota,46035
"Day County, South Dakota",5424,Day,South Dakota,46037
"Deuel County, South Dakota",4351,Deuel,South Dakota,46039
"Dewey County, South Dakota",5892,Dewey,South Dakota,46041
"Douglas County, South Dakota",2921,Douglas,South Dakota,46043
"Edmunds County, South Dakota",3829,Edmunds,South Dakota,46045
"Fall River County, South Dakota",6713,Fall River,South Dakota,46047
"Faulk County, South Dakota",2299,Faulk,South Dakota,46049
"Grant County, South Dakota",7052,Grant,South Dakota,46051
"Gregory County, South Dakota",4185,Gregory,South Dakota,46053
"Haakon County, South Dakota",1899,Haakon,South Dakota,46055
"Hamlin County, South Dakota",6164,Hamlin,South Dakota,46057
"Hand County, South Dakota",3191,Hand,South Dakota,46059
"Hanson County, South Dakota",3453,Hanson,South Dakota,46061
"Harding County, South Dakota",1298,Harding,South Dakota,46063
"Hughes County, South Dakota",17526,Hughes,South Dakota,46065
"Hutchinson County, South Dakota",7291,Hutchinson,South Dakota,46067
"Hyde County, South Dakota",1301,Hyde,South Dakota,46069
"Jackson County, South Dakota",3344,Jackson,South Dakota,46071
"Jerauld County, South Dakota",2013,Jerauld,South Dakota,46073
"Jones County, South Dakota",903,Jones,South Dakota,46075
"Kingsbury County, South Dakota",4939,Kingsbury,South Dakota,46077
"Lake County, South Dakota",12797,Lake,South Dakota,46079
"Lawrence County, South Dakota",25844,Lawrence,South Dakota,46081
"Lincoln County, South Dakota",61128,Lincoln,South Dakota,46083
"Lyman County, South Dakota",3781,Lyman,South Dakota,46085
"McCook County, South Dakota",5586,McCook,South Dakota,46087
"McPherson County, South Dakota",2379,McPherson,South Dakota,46089
"Marshall County, South Dakota",4935,Marshall,South Dakota,46091
"Meade County, South Dakota",28332,Meade,South Dakota,46093
"Mellette County, South Dakota",2061,Mellette,South Dakota,46095
"Miner County, South Dakota",2216,Miner,South Dakota,46097
"Minnehaha County, South Dakota",193134,Minnehaha,South Dakota,46099
"Moody County, South Dakota",6576,Moody,South Dakota,46101
"Oglala Lakota County, South Dakota",14177,Oglala Lakota,South Dakota,46102
"Pennington County, South Dakota",113775,Pennington,South Dakota,46103
"Perkins County, South Dakota",2865,Perkins,South Dakota,46105
"Potter County, South Dakota",2153,Potter,South Dakota,46107
"Roberts County, South Dakota",10394,Roberts,South Dakota,46109
"Sanborn County, South Dakota",2344,Sanborn,South Dakota,46111
"Spink County, South Dakota",6376,Spink,South Dakota,46115
"Stanley County, South Dakota",3098,Stanley,South Dakota,46117
"Sully County, South Dakota",1391,Sully,South Dakota,46119
"Todd County, South Dakota",10177,Todd,South Dakota,46121
"Tripp County, South Dakota",5441,Tripp,South Dakota,46123
"Turner County, South Dakota",8384,Turner,South Dakota,46125
"Union County, South Dakota",15932,Union,South Dakota,46127
"Walworth County, South Dakota",5435,Walworth,South Dakota,46129
"Yankton County, South Dakota",22814,Yankton,South Dakota,46135
"Ziebach County, South Dakota",2756,Ziebach,South Dakota,46137
"Anderson County, Tennessee",76978,Anderson,Tennessee,47001
"Bedford County, Tennessee",49713,Bedford,Tennessee,47003
"Benton County, Tennessee",16160,Benton,Tennessee,47005
"Bledsoe County, Tennessee",15064,Bledsoe,Tennessee,47007
"Blount County, Tennessee",133088,Blount,Tennessee,47009
"Bradley County, Tennessee",108110,Bradley,Tennessee,47011
"Campbell County, Tennessee",39842,Campbell,Tennessee,47013
"Cannon County, Tennessee",14678,Cannon,Tennessee,47015
"Carroll County, Tennessee",27767,Carroll,Tennessee,47017
"Carter County, Tennessee",56391,Carter,Tennessee,47019
"Cheatham County, Tennessee",40667,Cheatham,Tennessee,47021
"Chester County, Tennessee",17297,Chester,Tennessee,47023
"Claiborne County, Tennessee",31959,Claiborne,Tennessee,47025
"Clay County, Tennessee",7615,Clay,Tennessee,47027
"Cocke County, Tennessee",36004,Cocke,Tennessee,47029
"Coffee County, Tennessee",56520,Coffee,Tennessee,47031
"Crockett County, Tennessee",14230,Crockett,Tennessee,47033
"Cumberland County, Tennessee",60520,Cumberland,Tennessee,47035
"Davidson County, Tennessee",694144,Davidson,Tennessee,47037
"Decatur County, Tennessee",11663,Decatur,Tennessee,47039
"DeKalb County, Tennessee",20490,DeKalb,Tennessee,47041
"Dickson County, Tennessee",53948,Dickson,Tennessee,47043
"Dyer County, Tennessee",37159,Dyer,Tennessee,47045
"Fayette County, Tennessee",41133,Fayette,Tennessee,47047
"Fentress County, Tennessee",18523,Fentress,Tennessee,47049
"Franklin County, Tennessee",42208,Franklin,Tennessee,47051
"Gibson County, Tennessee",49133,Gibson,Tennessee,47053
"Giles County, Tennessee",29464,Giles,Tennessee,47055
"Grainger County, Tennessee",23320,Grainger,Tennessee,47057
"Greene County, Tennessee",69069,Greene,Tennessee,47059
"Grundy County, Tennessee",13427,Grundy,Tennessee,47061
"Hamblen County, Tennessee",64934,Hamblen,Tennessee,47063
"Hamilton County, Tennessee",367804,Hamilton,Tennessee,47065
"Hancock County, Tennessee",6620,Hancock,Tennessee,47067
"Hardeman County, Tennessee",25050,Hardeman,Tennessee,47069
"Hardin County, Tennessee",25652,Hardin,Tennessee,47071
"Hawkins County, Tennessee",56786,Hawkins,Tennessee,47073
"Haywood County, Tennessee",17304,Haywood,Tennessee,47075
"Henderson County, Tennessee",28117,Henderson,Tennessee,47077
"Henry County, Tennessee",32345,Henry,Tennessee,47079
"Hickman County, Tennessee",25178,Hickman,Tennessee,47081
"Houston County, Tennessee",8201,Houston,Tennessee,47083
"Humphreys County, Tennessee",18582,Humphreys,Tennessee,47085
"Jackson County, Tennessee",11786,Jackson,Tennessee,47087
"Jefferson County, Tennessee",54495,Jefferson,Tennessee,47089
"Johnson County, Tennessee",17788,Johnson,Tennessee,47091
"Knox County, Tennessee",470313,Knox,Tennessee,47093
"Lake County, Tennessee",7016,Lake,Tennessee,47095
"Lauderdale County, Tennessee",25633,Lauderdale,Tennessee,47097
"Lawrence County, Tennessee",44142,Lawrence,Tennessee,47099
"Lewis County, Tennessee",12268,Lewis,Tennessee,47101
"Lincoln County, Tennessee",34366,Lincoln,Tennessee,47103
"Loudon County, Tennessee",54068,Loudon,Tennessee,47105
"McMinn County, Tennessee",53794,McMinn,Tennessee,47107
"McNairy County, Tennessee",25694,McNairy,Tennessee,47109
"Macon County, Tennessee",24602,Macon,Tennessee,47111
"Madison County, Tennessee",97984,Madison,Tennessee,47113
"Marion County, Tennessee",28907,Marion,Tennessee,47115
"Marshall County, Tennessee",34375,Marshall,Tennessee,47117
"Maury County, Tennessee",96387,Maury,Tennessee,47119
"Meigs County, Tennessee",12422,Meigs,Tennessee,47121
"Monroe County, Tennessee",46545,Monroe,Tennessee,47123
"Montgomery County, Tennessee",208993,Montgomery,Tennessee,47125
"Moore County, Tennessee",6488,Moore,Tennessee,47127
"Morgan County, Tennessee",21403,Morgan,Tennessee,47129
"Obion County, Tennessee",30069,Obion,Tennessee,47131
"Overton County, Tennessee",22241,Overton,Tennessee,47133
"Perry County, Tennessee",8076,Perry,Tennessee,47135
"Pickett County, Tennessee",5048,Pickett,Tennessee,47137
"Polk County, Tennessee",16832,Polk,Tennessee,47139
"Putnam County, Tennessee",80245,Putnam,Tennessee,47141
"Rhea County, Tennessee",33167,Rhea,Tennessee,47143
"Roane County, Tennessee",53382,Roane,Tennessee,47145
"Robertson County, Tennessee",71813,Robertson,Tennessee,47147
"Rutherford County, Tennessee",332285,Rutherford,Tennessee,47149
"Scott County, Tennessee",22068,Scott,Tennessee,47151
"Sequatchie County, Tennessee",15026,Sequatchie,Tennessee,47153
"Sevier County, Tennessee",98250,Sevier,Tennessee,47155
"Shelby County, Tennessee",937166,Shelby,Tennessee,47157
"Smith County, Tennessee",20157,Smith,Tennessee,47159
"Stewart County, Tennessee",13715,Stewart,Tennessee,47161
"Sullivan County, Tennessee",158348,Sullivan,Tennessee,47163
"Sumner County, Tennessee",191283,Sumner,Tennessee,47165
"Tipton County, Tennessee",61599,Tipton,Tennessee,47167
"Trousdale County, Tennessee",11284,Trousdale,Tennessee,47169
"Unicoi County, Tennessee",17883,Unicoi,Tennessee,47171
"Union County, Tennessee",19972,Union,Tennessee,47173
"Van Buren County, Tennessee",5872,Van Buren,Tennessee,47175
"Warren County, Tennessee",41277,Warren,Tennessee,47177
"Washington County, Tennessee",129375,Washington,Tennessee,47179
"Wayne County, Tennessee",16673,Wayne,Tennessee,47181
"Weakley County, Tennessee",33328,Weakley,Tennessee,47183
"White County, Tennessee",27345,White,Tennessee,47185
"Williamson County, Tennessee",238412,Williamson,Tennessee,47187
"Wilson County, Tennessee",144657,Wilson,Tennessee,47189
"Anderson County, Texas",57735,Anderson,Texas,48001
"Andrews County, Texas",18705,Andrews,Texas,48003
"Angelina County, Texas",86715,Angelina,Texas,48005
"Aransas County, Texas",23510,Aransas,Texas,48007
"Archer County, Texas",8553,Archer,Texas,48009
"Armstrong County, Texas",1887,Armstrong,Texas,48011
"Atascosa County, Texas",51153,Atascosa,Texas,48013
"Austin County, Texas",30032,Austin,Texas,48015
"Bailey County, Texas",7000,Bailey,Texas,48017
"Bandera County, Texas",23112,Bandera,Texas,48019
"Bastrop County, Texas",88723,Bastrop,Texas,48021
"Baylor County, Texas",3509,Baylor,Texas,48023
"Bee County, Texas",32565,Bee,Texas,48025
"Bell County, Texas",362924,Bell,Texas,48027
"Bexar County, Texas",2003554,Bexar,Texas,48029
"Blanco County, Texas",11931,Blanco,Texas,48031
"Borden County, Texas",654,Borden,Texas,48033
"Bosque County, Texas",18685,Bosque,Texas,48035
"Bowie County, Texas",93245,Bowie,Texas,48037
"Brazoria County, Texas",374264,Brazoria,Texas,48039
"Brazos County, Texas",229211,Brazos,Texas,48041
"Brewster County, Texas",9203,Brewster,Texas,48043
"Briscoe County, Texas",1546,Briscoe,Texas,48045
"Brooks County, Texas",7093,Brooks,Texas,48047
"Brown County, Texas",37864,Brown,Texas,48049
"Burleson County, Texas",18443,Burleson,Texas,48051
"Burnet County, Texas",48155,Burnet,Texas,48053
"Caldwell County, Texas",43664,Caldwell,Texas,48055
"Calhoun County, Texas",21290,Calhoun,Texas,48057
"Callahan County, Texas",13943,Callahan,Texas,48059
"Cameron County, Texas",423163,Cameron,Texas,48061
"Camp County, Texas",13094,Camp,Texas,48063
"Carson County, Texas",5926,Carson,Texas,48065
"Cass County, Texas",30026,Cass,Texas,48067
"Castro County, Texas",7530,Castro,Texas,48069
"Chambers County, Texas",43837,Chambers,Texas,48071
"Cherokee County, Texas",52646,Cherokee,Texas,48073
"Childress County, Texas",7306,Childress,Texas,48075
"Clay County, Texas",10471,Clay,Texas,48077
"Cochran County, Texas",2853,Cochran,Texas,48079
"Coke County, Texas",3387,Coke,Texas,48081
"Coleman County, Texas",8175,Coleman,Texas,48083
"Collin County, Texas",1034730,Collin,Texas,48085
"Collingsworth County, Texas",2920,Collingsworth,Texas,48087
"Colorado County, Texas",21493,Colorado,Texas,48089
"Comal County, Texas",156209,Comal,Texas,48091
"Comanche County, Texas",13635,Comanche,Texas,48093
"Concho County, Texas",2726,Concho,Texas,48095
"Cooke County, Texas",41257,Cooke,Texas,48097
"Coryell County, Texas",75951,Coryell,Texas,48099
"Cottle County, Texas",1398,Cottle,Texas,48101
"Crane County, Texas",4797,Crane,Texas,48103
"Crockett County, Texas",3464,Crockett,Texas,48105
"Crosby County, Texas",5737,Crosby,Texas,48107
"Culberson County, Texas",2171,Culberson,Texas,48109
"Dallam County, Texas",7287,Dallam,Texas,48111
"Dallas County, Texas",2635516,Dallas,Texas,48113
"Dawson County, Texas",12728,Dawson,Texas,48115
"Deaf Smith County, Texas",18546,Deaf Smith,Texas,48117
"Delta County, Texas",5331,Delta,Texas,48119
"Denton County, Texas",887207,Denton,Texas,48121
"DeWitt County, Texas",20160,DeWitt,Texas,48123
"Dickens County, Texas",2211,Dickens,Texas,48125
"Dimmit County, Texas",10124,Dimmit,Texas,48127
"Donley County, Texas",3278,Donley,Texas,48129
"Duval County, Texas",11157,Duval,Texas,48131
"Eastland County, Texas",18360,Eastland,Texas,48133
"Ector County, Texas",166223,Ector,Texas,48135
"Edwards County, Texas",1932,Edwards,Texas,48137
"Ellis County, Texas",184826,Ellis,Texas,48139
"El Paso County, Texas",839238,El Paso,Texas,48141
"Erath County, Texas",42698,Erath,Texas,48143
"Falls County, Texas",17297,Falls,Texas,48145
"Fannin County, Texas",35514,Fannin,Texas,48147
"Fayette County, Texas",25346,Fayette,Texas,48149
"Fisher County, Texas",3830,Fisher,Texas,48151
"Floyd County, Texas",5712,Floyd,Texas,48153
"Foard County, Texas",1155,Foard,Texas,48155
"Fort Bend County, Texas",811688,Fort Bend,Texas,48157
"Franklin County, Texas",10725,Franklin,Texas,48159
"Freestone County, Texas",19717,Freestone,Texas,48161
"Frio County, Texas",20306,Frio,Texas,48163
"Gaines County, Texas",21492,Gaines,Texas,48165
"Galveston County, Texas",342139,Galveston,Texas,48167
"Garza County, Texas",6229,Garza,Texas,48169
"Gillespie County, Texas",26988,Gillespie,Texas,48171
"Glasscock County, Texas",1409,Glasscock,Texas,48173
"Goliad County, Texas",7658,Goliad,Texas,48175
"Gonzales County, Texas",20837,Gonzales,Texas,48177
"Gray County, Texas",21886,Gray,Texas,48179
"Grayson County, Texas",136212,Grayson,Texas,48181
"Gregg County, Texas",123945,Gregg,Texas,48183
"Grimes County, Texas",28880,Grimes,Texas,48185
"Guadalupe County, Texas",166847,Guadalupe,Texas,48187
"Hale County, Texas",33406,Hale,Texas,48189
"Hall County, Texas",2964,Hall,Texas,48191
"Hamilton County, Texas",8461,Hamilton,Texas,48193
"Hansford County, Texas",5399,Hansford,Texas,48195
"Hardeman County, Texas",3933,Hardeman,Texas,48197
"Hardin County, Texas",57602,Hardin,Texas,48199
"Harris County, Texas",4713325,Harris,Texas,48201
"Harrison County, Texas",66553,Harrison,Texas,48203
"Hartley County, Texas",5576,Hartley,Texas,48205
"Haskell County, Texas",5658,Haskell,Texas,48207
"Hays County, Texas",230191,Hays,Texas,48209
"Hemphill County, Texas",3819,Hemphill,Texas,48211
"Henderson County, Texas",82737,Henderson,Texas,48213
"Hidalgo County, Texas",868707,Hidalgo,Texas,48215
"Hill County, Texas",36649,Hill,Texas,48217
"Hockley County, Texas",23021,Hockley,Texas,48219
"Hood County, Texas",61643,Hood,Texas,48221
"Hopkins County, Texas",37084,Hopkins,Texas,48223
"Houston County, Texas",22968,Houston,Texas,48225
"Howard County, Texas",36664,Howard,Texas,48227
"Hudspeth County, Texas",4886,Hudspeth,Texas,48229
"Hunt County, Texas",98594,Hunt,Texas,48231
"Hutchinson County, Texas",20938,Hutchinson,Texas,48233
"Irion County, Texas",1536,Irion,Texas,48235
"Jack County, Texas",8935,Jack,Texas,48237
"Jackson County, Texas",14760,Jackson,Texas,48239
"Jasper County, Texas",35529,Jasper,Texas,48241
"Jeff Davis County, Texas",2274,Jeff Davis,Texas,48243
"Jefferson County, Texas",251565,Jefferson,Texas,48245
"Jim Hogg County, Texas",5200,Jim Hogg,Texas,48247
"Jim Wells County, Texas",40482,Jim Wells,Texas,48249
"Johnson County, Texas",175817,Johnson,Texas,48251
"Jones County, Texas",20083,Jones,Texas,48253
"Karnes County, Texas",15601,Karnes,Texas,48255
"Kaufman County, Texas",136154,Kaufman,Texas,48257
"Kendall County, Texas",47431,Kendall,Texas,48259
"Kenedy County, Texas",404,Kenedy,Texas,48261
"Kent County, Texas",762,Kent,Texas,48263
"Kerr County, Texas",52600,Kerr,Texas,48265
"Kimble County, Texas",4337,Kimble,Texas,48267
"King County, Texas",272,King,Texas,48269
"Kinney County, Texas",3667,Kinney,Texas,48271
"Kleberg County, Texas",30680,Kleberg,Texas,48273
"Knox County, Texas",3664,Knox,Texas,48275
"Lamar County, Texas",49859,Lamar,Texas,48277
"Lamb County, Texas",12893,Lamb,Texas,48279
"Lampasas County, Texas",21428,Lampasas,Texas,48281
"La Salle County, Texas",7520,La Salle,Texas,48283
"Lavaca County, Texas",20154,Lavaca,Texas,48285
"Lee County, Texas",17239,Lee,Texas,48287
"Leon County, Texas",17404,Leon,Texas,48289
"Liberty County, Texas",88219,Liberty,Texas,48291
"Limestone County, Texas",23437,Limestone,Texas,48293
"Lipscomb County, Texas",3233,Lipscomb,Texas,48295
"Live Oak County, Texas",12207,Live Oak,Texas,48297
"Llano County, Texas",21795,Llano,Texas,48299
"Loving County, Texas",169,Loving,Texas,48301
